12	20	58	26	18	35	33	25	35	34	25	33	24	35	24	41	43	28	38	19	29	47	
35	17	49	27	22	45	14	26	32	36	31	27	36	29	22	54	53	20	30	38	20	49	
35	17	49	27	22	45	14	26	32	36	31	27	36	29	22	54	53	20	30	38	20	49	
34	18	48	42	15	48	14	29	24	45	37	25	46	22	33	39	40	7	41	31	24	54	
42	15	49	27	28	49	26	18	34	19	33	29	34	22	17	27	46	15	28	21	26	20	
36	15	45	31	20	40	21	20	29	16	20	32	20	28	20	43	41	28	44	35	19	54	
36	15	45	31	20	40	21	20	29	16	20	32	20	28	20	43	41	28	44	35	19	54	
33	10	23	20	5	28	18	15	19	12	22	21	30	16	13	18	32	7	35	24	19	35	
21	6	37	31	17	21	11	12	26	26	17	4	27	24	27	29	40	2	19	21	22	32	
24	8	37	23	8	21	19	24	18	30	24	9	24	23	25	22	26	5	33	36	20	13	
24	8	37	23	8	21	19	24	18	30	24	9	24	23	25	22	26	5	33	36	20	13	
23	8	27	28	21	23	16	17	21	24	21	29	34	25	21	22	46	57	30	21	17	8	
28	6	17	20	13	35	15	10	25	21	31	18	34	15	11	36	37	43	27	14	14	20	
28	6	17	20	13	35	15	10	25	21	31	18	34	15	11	36	37	43	27	14	14	20	
23	8	18	23	8	28	19	20	36	11	25	16	20	16	10	50	43	39	30	28	19	44	
23	8	18	23	8	28	19	20	36	11	25	16	20	16	10	50	43	39	30	28	19	44	
12	8	21	14	10	25	12	16	25	29	16	12	31	22	15	34	38	20	28	24	20	32	
12	8	21	14	10	25	12	16	25	29	16	12	31	22	15	34	38	20	28	24	20	32	
13	14	52	24	6	33	14	23	25	33	20	10	46	24	28	34	37	21	35	21	15	27	
14	6	27	16	6	36	13	13	25	19	23	22	28	22	20	41	22	13	25	22	24	44	
18	12	35	21	5	36	13	13	25	19	23	22	28	22	20	41	22	13	25	22	24	44	
18	12	35	21	5	24	5	19	22	14	15	12	49	26	27	34	24	17	35	26	18	35	
17	12	38	20	16	28	16	17	24	19	28	12	15	25	26	32	29	0	33	32	22	30	
25	16	52	33	11	42	36	18	13	24	27	37	42	20	21	20	32	36	27	19	10	0	
11	12	38	22	5	21	19	8	18	17	17	10	23	19	12	39	41	20	30	26	20	40	
12	10	31	25	13	29	29	15	19	8	20	13	37	21	0	48	40	23	28	31	19	32	
12	10	31	25	13	29	29	15	19	8	20	13	37	21	0	48	40	23	28	31	19	32	
12	10	31	25	13	29	29	15	19	8	20	13	37	21	0	48	40	23	28	31	19	32	
16	6	45	24	9	23	18	23	31	29	16	16	17	19	25	22	34	17	30	29	19	8	
16	6	45	24	9	23	18	23	31	29	16	16	17	19	25	22	34	17	30	29	19	8	
15	10	24	31	0	33	30	9	18	20	22	5	9	23	20	38	28	8	27	25	14	23	
14	12	18	17	5	23	1	11	31	28	11	20	29	20	21	16	19	2	43	33	19	15	
14	8	21	29	9	46	28	20	22	28	22	13	23	22	19	48	40	0	38	22	24	91	
14	8	21	29	9	46	28	20	22	28	22	13	23	22	19	48	40	0	38	22	24	91	
22	17	23	28	5	20	11	16	19	22	13	21	36	24	7	32	35	25	33	22	14	27	
22	17	23	28	5	25	10	16	25	37	16	20	34	23	6	18	35	30	36	24	19	30	
29	4	27	20	10	29	16	24	20	22	27	23	51	22	21	31	41	8	35	21	17	47	
17	12	40	20	14	31	13	10	24	11	18	25	8	23	20	48	32	15	22	31	15	40	
20	11	38	27	9	36	25	20	19	32	23	15	35	26	27	32	43	0	30	24	27	52	
27	14	37	28	20	35	30	20	17	15	18	10	36	22	6	16	41	41	36	28	20	20	
27	14	37	28	20	35	30	20	17	15	18	10	36	22	6	16	41	41	36	28	20	20	
0	9	31	23	12	28	18	8	26	11	17	7	19	22	18	66	32	17	28	18	9	8	
0	9	31	23	12	28	18	8	26	11	17	7	19	22	18	66	32	17	28	18	9	8	
0	9	31	23	12	28	18	8	26	11	17	7	19	22	18	66	32	17	28	18	9	8	
13	9	18	11	8	35	28	13	29	26	19	11	42	13	32	25	26	7	30	28	11	25	
25	5	35	25	6	28	29	15	19	27	36	17	41	27	25	43	29	17	32	26	14	35	
16	4	29	14	12	24	24	8	17	22	21	17	17	23	28	34	32	5	24	21	14	30	
27	15	29	24	9	40	18	16	21	30	11	4	36	24	28	27	29	5	40	26	14	49	
27	15	29	24	9	40	18	16	21	30	11	4	36	24	28	27	29	5	40	26	14	49	
11	8	31	15	0	25	3	9	10	5	12	9	9	19	38	46	34	10	27	15	19	27	
13	19	23	14	13	36	28	17	21	20	22	16	17	21	21	32	47	0	36	28	11	35	
16	8	31	27	1	35	29	11	17	33	25	9	35	26	19	16	34	34	27	25	17	44	
11	16	37	23	17	33	14	17	12	35	25	4	17	25	13	6	37	0	44	28	15	25	
11	16	37	23	17	33	14	17	12	35	25	4	17	25	13	6	37	0	44	28	15	25	
30	10	29	31	10	25	21	14	19	13	26	25	33	18	13	20	21	8	14	26	15	40	
30	10	29	31	10	25	21	14	19	13	26	25	33	18	13	20	21	8	14	26	15	40	
17	11	27	25	11	19	18	17	25	37	28	23	40	22	24	54	44	12	40	36	22	49	
24	14	48	32	24	36	19	13	33	22	21	6	37	22	30	22	44	0	30	26	19	42	
24	14	48	32	24	36	19	13	33	22	21	6	37	22	30	22	44	0	30	26	19	42	
28	19	31	19	8	23	21	9	40	39	30	34	44	28	24	15	40	15	41	31	20	30	
28	19	31	19	8	23	21	9	40	39	30	34	44	28	24	15	40	15	41	31	20	30	
6	12	41	24	15	24	20	13	24	6	24	26	28	10	22	29	35	31	36	28	15	47	
6	12	41	24	15	24	20	13	24	6	24	26	28	10	22	29	35	31	36	28	15	47	
30	4	34	11	9	25	29	12	18	21	12	10	33	22	0	27	31	30	33	9	14	30	
19	14	41	21	3	27	19	16	18	1	16	5	10	21	26	43	38	4	24	22	23	23	
14	8	41	19	15	21	25	17	24	20	17	22	15	20	8	11	28	0	20	26	18	27	
15	10	37	21	9	29	14	12	22	17	21	27	36	16	20	34	31	43	41	31	22	57	
30	12	20	32	16	32	27	16	23	17	23	15	11	22	7	18	40	17	38	19	27	42	
30	12	20	32	16	32	27	16	23	17	23	15	11	22	7	18	40	17	38	19	27	42	
20	11	27	28	17	28	29	22	30	30	18	18	28	18	10	32	28	0	32	22	17	57	
27	6	48	21	17	33	30	21	26	7	27	17	33	24	33	13	24	20	40	25	19	23	
13	4	18	20	6	21	28	6	21	18	21	12	24	19	0	27	32	12	28	21	15	20	
12	10	38	13	18	29	13	20	14	9	25	18	30	18	0	32	44	23	40	22	24	18	
12	10	38	13	18	29	13	20	14	9	25	18	30	18	0	32	44	23	40	22	24	18	
19	4	38	21	8	36	14	11	23	22	18	17	24	21	21	8	43	28	22	22	22	32	
19	4	38	21	8	36	14	11	23	22	18	17	24	21	21	8	43	28	22	22	22	32	
17	19	34	31	5	24	16	9	23	24	18	9	19	14	4	20	22	21	14	21	11	44	
14	4	23	26	1	4	7	13	23	31	3	13	14	16	4	6	21	0	33	29	10	59	
12	17	31	18	11	11	13	13	24	37	20	17	19	21	10	27	24	15	40	22	11	13	
15	9	31	13	10	27	6	14	15	18	10	12	29	13	7	13	25	12	25	16	6	35	
5	0	35	23	9	29	13	8	28	18	7	9	42	26	21	9	24	8	28	26	24	30	
12	12	37	20	10	35	17	15	14	18	21	7	37	19	5	36	26	23	41	21	20	30	
12	12	37	20	10	35	17	15	14	18	21	7	37	19	5	36	26	23	41	21	20	30	
18	6	43	30	4	32	27	7	13	19	13	16	14	21	30	16	31	7	43	12	19	20	
24	16	41	21	9	24	21	7	28	20	18	11	30	23	12	27	31	51	22	29	13	35	
19	8	41	31	7	32	16	16	23	19	20	5	29	20	26	18	34	23	17	24	18	23	
17	11	38	19	12	33	22	16	13	18	23	20	34	19	4	24	37	4	30	24	17	40	
