86	145	90	65
86	144	90	64
86	145	90	64
108	150	114	64
382	357	477	64
862	853	851	64
1325	1305	1356	64
1578	1625	1609	65
1893	1891	1849	64
2426	2444	2396	64
2713	2688	2709	64
2942	2974	3006	64
3486	3511	3584	64
3830	3810	3787	64
4053	4044	4082	64
4674	4651	4615	64
4907	4916	4967	64
5198	5177	5195	64
5468	5456	5480	64
6066	6045	6028	64
6308	6330	6355	64
6598	6599	6635	64
7135	7157	7203	64
7471	7458	7468	64
7709	7695	7738	64
8320	8296	8290	64
8560	8571	8620	64
8841	8835	8873	64
9142	9126	9133	64
9722	9692	9684	64
9932	9928	10005	64
10215	10205	10225	64
10723	10770	10814	64
11096	11067	11061	64
11306	11306	11355	64
11869	11870	11868	64
12115	12135	12192	64
12468	12460	12458	64
12984	12969	13025	64
13264	13287	13257	64
13503	13515	13588	64
14136	14105	14114	64
14347	14369	14459	64
14689	14668	14641	64
15217	15200	15228	64
15441	15460	15463	64
15765	15758	15848	64
16054	16058	16051	64
16608	16591	16612	64
16853	16885	16857	64
17147	17145	17210	64
17707	17698	17720	64
17985	17999	18015	64
18301	18273	18249	64
18842	18835	18819	64
19115	19101	19116	64
19364	19381	19387	64
19680	19672	19635	64
20221	20227	20205	64
20524	20488	20516	64
20773	20803	20830	64
21116	21108	21099	64
21635	21665	21708	63
21982	21963	21955	64
22228	22206	22270	64
22782	22772	22788	64
22996	23037	23066	64
23344	23331	23316	64
23873	23843	23881	64
24111	24135	24125	64
24340	24373	24427	64
24925	24950	24984	64
25243	25226	25256	63
25510	25541	25505	64
26101	26078	26074	64
26344	26333	26355	64
26630	26621	26691	64
26942	26936	26928	64
27492	27475	27500	63
27725	27735	27721	64
28009	28006	28044	64
28560	28570	28624	64
28860	28865	28878	64
29183	29175	29176	64
29744	29737	29725	64
30026	29981	30040	64
30245	30285	30316	64
30608	30568	30549	63
31122	31121	31121	64
31427	31391	31419	64
31637	31672	31696	64
32246	32242	32295	64
32507	32548	32574	63
32860	32827	32828	64
33110	33124	33167	63
33667	33663	33660	64
33914	33955	33990	64
34283	34268	34250	64
34809	34800	34835	64
35080	35107	35067	63
35318	35340	35388	64
35891	35915	35929	64
36189	36180	36203	64
36467	36490	36473	64
36747	36765	36797	63
37295	37315	37307	63
37611	37604	37661	64
37898	37904	37870	64
38437	38442	38446	64
38685	38702	38685	63
38959	38972	39010	64
39504	39512	39552	64
39799	39814	39799	63
40055	40063	40042	64
40627	40634	40599	64
40874	40850	40914	64
41158	41156	41147	63
41698	41695	41749	64
41982	42005	41960	64
42260	42244	42282	64
42825	42805	42788	63
43049	43083	43096	64
43396	43401	43337	64
43663	43657	43683	64
44250	44255	44222	63
44479	44503	44534	64
44780	44779	44765	64
45280	45324	45319	63
45586	45587	45569	64
45844	45886	45910	64
46393	46419	46413	63
