14	18	8	25	27	28	13	12	5	33	27	14	10	22	28	14	17	35	41	20	21	6	
8	10	19	32	22	21	9	18	8	30	25	12	14	17	30	3	17	31	46	23	24	0	
10	5	15	22	24	26	10	23	12	40	32	13	37	15	21	10	20	0	33	11	30	16	
20	18	20	33	36	26	10	23	12	40	32	13	37	15	21	10	20	0	33	11	30	16	
31	13	20	23	29	26	13	29	19	44	35	11	73	25	32	0	12	43	51	28	16	13	
31	13	20	23	29	26	13	29	19	44	35	11	73	25	32	0	12	43	51	28	16	13	
25	6	10	30	33	23	18	22	7	49	31	23	46	17	25	0	19	41	47	20	27	10	
19	15	11	28	22	24	13	18	18	23	34	17	34	31	52	0	14	21	43	20	27	24	
26	13	11	32	24	25	10	16	15	37	33	19	38	13	25	9	10	27	51	20	24	10	
11	3	0	22	19	15	17	14	9	27	29	15	55	21	22	7	4	9	46	30	28	11	
11	3	0	22	19	15	17	14	9	27	29	15	55	21	22	7	4	9	46	30	28	11	
17	7	20	33	22	15	15	18	13	22	26	17	42	13	30	0	10	0	35	20	24	5	
17	7	20	33	22	15	15	18	13	22	26	17	42	13	30	0	10	0	35	20	24	5	
4	9	7	18	30	24	16	16	21	36	21	16	35	15	25	3	1	37	46	28	21	16	
4	9	7	18	30	24	16	16	21	36	21	16	35	15	25	3	1	37	46	28	21	16	
21	9	29	30	18	24	8	20	14	33	29	18	25	26	21	0	10	9	49	21	13	11	
23	15	29	39	29	29	14	27	20	48	30	17	35	17	43	5	4	11	49	28	39	11	
25	16	11	35	27	22	14	16	22	37	25	12	38	20	33	0	9	43	51	32	24	19	
24	0	16	28	30	23	12	23	17	33	23	17	20	12	15	0	12	13	46	20	25	6	
7	14	10	27	21	29	0	19	12	41	36	18	44	13	5	27	10	11	46	9	28	10	
8	2	15	30	29	28	11	23	11	27	35	21	18	20	24	31	12	51	39	28	25	16	
8	2	15	30	29	28	11	23	11	27	35	21	18	20	24	31	12	51	39	28	25	16	
14	3	15	35	32	25	8	20	23	38	42	17	48	26	46	24	0	35	55	28	34	12	
21	10	22	34	34	23	16	13	15	51	32	18	29	15	31	12	22	27	46	16	24	12	
17	4	27	25	16	11	11	17	8	34	21	10	54	10	43	29	0	1	41	11	28	19	
13	7	17	22	32	29	13	14	10	37	30	14	12	23	10	0	0	43	30	6	22	14	
13	7	17	22	32	29	13	14	10	37	30	14	12	23	10	0	0	43	30	6	22	14	
25	12	18	27	20	18	10	24	18	43	37	20	32	16	23	10	15	11	44	23	15	12	
13	0	19	22	27	18	17	13	13	40	36	19	59	15	20	10	10	0	41	14	22	11	
13	0	19	22	27	18	17	13	13	40	36	19	59	15	20	10	10	0	41	14	22	11	
26	0	14	36	23	23	17	18	16	29	31	14	34	20	9	0	2	47	39	21	24	19	
26	10	17	34	29	25	9	24	6	22	40	17	42	20	34	0	2	47	39	21	24	19	
23	0	0	19	16	22	8	17	12	44	31	12	44	12	23	10	12	0	51	14	22	6	
23	0	0	19	16	22	8	17	12	44	31	12	44	12	23	10	12	0	51	14	28	8	
21	5	22	26	23	26	5	12	10	43	33	12	38	24	35	14	0	13	52	32	27	16	
19	10	23	31	21	9	9	11	11	44	26	14	12	14	3	0	7	0	39	0	21	2	
18	5	14	23	24	21	9	22	17	40	29	17	28	22	24	3	19	47	41	18	25	10	
23	4	7	33	31	32	13	14	23	34	31	10	53	21	16	18	0	31	41	14	22	14	
23	4	7	33	31	32	13	14	23	34	31	10	53	21	16	18	0	31	41	14	22	14	
15	0	18	27	17	28	7	17	10	35	31	18	36	16	33	18	12	5	52	18	18	3	
13	0	16	22	23	15	3	19	14	33	25	19	42	18	22	20	7	29	22	11	24	13	
5	1	12	34	25	23	10	20	13	32	30	20	30	16	33	0	7	0	39	7	19	12	
28	6	23	21	25	26	11	16	16	29	35	22	47	17	28	12	4	0	44	20	33	11	
18	11	19	22	30	36	16	23	8	35	36	23	44	18	35	14	20	15	54	4	27	14	
18	11	19	22	30	36	16	23	8	35	36	23	44	18	35	14	20	15	54	4	27	14	
20	0	23	25	27	23	14	16	16	33	31	17	34	19	48	24	14	43	44	32	27	11	
20	0	23	25	27	23	14	16	16	33	31	17	34	19	48	24	14	43	44	32	27	11	
22	15	14	33	29	28	11	23	28	49	34	13	49	14	28	0	17	23	36	23	21	11	
21	0	23	32	28	29	14	22	13	34	28	20	38	25	38	3	7	47	49	27	24	10	
24	6	18	31	33	34	16	21	20	37	31	20	61	24	31	18	15	25	43	28	30	10	
20	9	19	32	28	28	9	21	20	43	35	19	67	23	25	16	17	0	54	27	30	17	
12	2	23	28	22	26	0	14	16	27	36	10	55	21	38	0	9	21	49	14	19	11	
12	2	23	28	22	26	0	14	16	27	36	10	55	21	38	0	9	21	49	14	19	11	
17	5	20	32	34	23	7	20	4	37	29	13	29	24	28	14	5	37	46	25	27	5	
26	13	17	30	25	24	10	21	22	22	30	12	41	10	42	18	15	39	43	13	33	7	
26	20	23	32	36	32	9	23	17	35	32	15	30	26	22	10	14	47	46	14	25	6	
26	6	12	37	24	26	10	11	14	34	27	13	32	16	25	10	12	0	44	9	25	7	
26	6	12	37	24	26	10	11	14	34	27	13	32	16	25	10	12	0	44	9	25	7	
23	6	17	39	36	26	9	18	23	50	32	17	50	18	18	31	0	17	41	14	25	21	
26	5	25	30	31	29	15	25	21	43	35	20	42	23	28	26	15	0	52	33	33	16	
26	19	25	27	26	21	16	16	17	26	38	17	28	23	25	0	5	41	52	16	31	12	
26	9	18	23	17	18	15	28	23	36	39	13	32	21	16	7	12	1	39	13	13	11	
22	14	19	36	30	30	7	18	12	23	33	9	29	23	28	0	10	0	43	14	22	11	
22	14	19	36	30	30	7	18	12	23	33	9	29	23	28	0	10	0	43	14	22	11	
22	3	15	24	21	15	5	23	22	27	30	14	36	25	32	24	10	0	44	23	13	2	
15	5	9	35	37	25	10	24	23	48	34	16	65	21	41	0	9	17	47	23	36	16	
15	5	9	35	37	25	10	24	23	48	34	16	65	21	41	0	9	17	47	23	36	16	
25	5	23	25	30	23	8	22	20	30	35	21	22	19	14	14	15	47	41	21	21	5	
25	5	23	25	30	23	8	22	20	30	35	21	22	19	14	14	15	47	41	21	21	5	
11	0	5	21	22	22	7	18	16	49	31	13	28	18	22	7	22	23	47	39	22	7	
21	6	25	36	29	26	12	20	19	43	33	21	30	21	29	16	9	41	47	46	31	7	
25	5	16	36	23	32	15	27	22	42	34	22	66	27	41	10	14	0	52	28	30	16	
21	21	17	49	34	26	16	28	25	48	26	20	31	25	25	14	10	23	39	30	30	6	
20	16	32	31	24	36	19	21	18	36	33	13	25	18	44	0	19	27	54	7	28	13	
20	16	32	31	24	36	19	21	18	36	33	13	25	18	44	0	19	27	54	7	28	13	
